NO.,AZV1,AZV2,AZV3,AZV4,AZV5,ASV1,ASV2,ASV3,ASV4,ASV5,DSV1,DSV2,DSV3,DSV4,DSV5,AZS1,AZS2,AZS3,AZS4,AZS5,ASZ1,ASZ2,ASZ3,ASZ4,ASZ5,DN2S1,DN2S2,DN2S3,DN2S4,DN2S5,DN2I1,DN2I2,DN2I3,DN2I4,DN2I5,ASI1,ASI2,ASI3,ASI4,ASI5,DSI1,DSI2,DSI3,DSI4,DSI5,ASN1,ASN2,ASN3,ASN4,ASN5,DSN1,DSN2,DSN3,DSN4,DSN5,DN2N1,DN2N2,DN2N3,DN2N4,DN2N5,ANS1,ANS2,ANS3,ANS4,ANS5,ANV1,ANV2,ANV3,ANV4,ANV5,AZN1,AZN2,AZN3,AZN4,AZN5,ANZ1,ANZ2,ANZ3,ANZ4,ANZ5,ANI1,ANI2,ANI3,ANI4,ANI5,DSZ1,DSZ2,DSZ3,DSZ4,DSZ5,ANN1,ANN2,ANN3,ANN4,ANN5,DN2Z1,DN2Z2,DN2Z3,DN2Z4,DN2Z5
174,5.492026,1.640553,10.527086,90.887589,5.043649,0.579391,0.018671,3.40832,899.825112,0.524973,0.328787,0.008792,-99,-99,0.255931,212.923609,2334.178675,66.199828,2.68421,204.508638,1.565013,0.12154,5.70223,329.437082,1.531553,3.421692,0.58568,8.425471,159.330139,3.340354,0.03986,0.000076,0.914689,12575.42022,0.039821,0.245787,0.002985,2.260866,2060.340079,0.240978,0.134137,0.001035,1.626175,4540.239075,0.116561,5.161523,1.316429,10.360589,98.111432,5.060538,2.816872,0.456538,7.45207,216.201861,2.447788,0.837062,0.033429,4.19163,598.829534,0.836244,78.516186,310.828848,40.320784,7.047459,76.352618,2.045754,0.215274,6.481394,240.17905,1.951211,51.201534,126.047418,32.750755,10.054025,50.951444,5.768426,1.608558,10.98652,90.175602,5.727947,0.902583,0.038829,4.35314,563.418232,0.902163,0.852221,0.042418,4.093112,754.737716,0.738755,18.954246,17.123765,19.948596,26.82944,18.945427,0.254166,0.003113,2.306905,2017.955215,0.252684
175,5.585873,1.659947,11.143921,99.809142,4.748953,0.396419,0.008209,2.975439,1471.448593,0.339781,0.228211,0.004357,-99,-99,-99,382.997079,6865.570173,94.549871,1.784062,362.730191,1.217227,0.065151,5.36638,485.629602,1.182214,4.391664,0.851211,10.192855,145.087743,4.267795,0.034042,0.000048,0.903547,16772.12752,0.033991,0.189924,0.001572,2.122448,3031.465733,0.185441,0.103723,0.000562,1.517221,6995.601225,0.087071,4.558178,0.905271,10.39783,126.311072,4.45058,2.489363,0.32373,7.432834,291.483384,2.089715,0.817014,0.027896,4.426458,698.838647,0.815773,121.212575,652.331026,53.510086,5.34045,117.452406,1.824861,0.160703,6.475779,297.956226,1.666565,69.328326,204.039989,40.69677,8.677743,68.695671,5.938766,1.501304,11.908835,101.434266,5.881189,0.923964,0.035609,4.708417,631.643457,0.923468,0.663695,0.023538,3.802951,1274.264503,0.526787,22.175139,20.510981,23.066439,26.318477,22.16324,0.218455,0.002037,2.283189,2703.205207,0.21601
176,3.846876,1.107838,7.62358,69.738609,3.397992,0.630683,0.030274,3.079403,445.217441,0.551421,0.377528,0.017644,-99,-99,0.254011,104.196984,736.416731,40.400162,3.011047,99.839761,1.882785,0.229377,5.463546,145.799772,1.8481,2.867667,0.545929,6.725444,104.982034,2.788564,0.051298,0.000165,0.905617,5247.992131,0.051219,0.283898,0.005224,2.120881,946.722957,0.278266,0.159233,0.001975,-99,-99,-99,4.542363,1.337309,8.483523,59.170185,4.452254,2.547724,0.505664,-99,-99,-99,0.820771,0.042229,3.622468,327.999508,0.819499,50.42093,171.112725,28.151033,6.122856,48.685005,1.851958,0.238769,5.356591,141.538888,1.729958,29.290502,54.350985,21.610731,9.471988,29.086067,5.932426,2.262342,9.708831,48.529781,5.851118,0.884253,0.048964,3.760473,312.454482,0.883392,1.042831,0.082286,3.923549,415.151484,0.848561,14.148042,12.534853,15.041891,19.528405,14.13428,0.342206,0.007441,2.335109,815.993592,0.339395
177,4.311705,1.265785,8.548287,80.721337,3.800021,0.537272,0.019139,3.022677,663.996359,0.474488,0.315767,0.010222,-99,-99,-99,158.698917,1613.819481,52.513707,2.555711,147.95814,1.688272,0.180258,5.435892,212.12649,1.599949,3.348877,0.663189,7.705506,113.021316,3.250796,0.04522,0.000114,0.901803,7486.698704,0.045141,0.244239,0.003449,2.085312,1392.495012,0.238823,0.13562,0.00127,1.499618,3184.870992,0.112044,4.396297,1.117575,8.84723,77.360834,4.298823,2.441155,0.411455,6.362342,176.937277,2.016799,0.813951,0.03693,3.826027,415.927706,0.812534,67.707913,274.080167,34.603907,5.687991,65.408352,1.869817,0.214512,5.718909,177.08636,1.760734,37.453342,80.780314,25.817672,9.610457,36.529023,6.235126,2.480503,10.45896,59.840332,5.952429,0.896121,0.044676,4.015535,386.455171,0.895492,0.927368,0.073779,3.792839,633.566974,0.634875,16.130183,14.474877,17.036472,21.469732,16.118857,0.31394,0.006405,2.344068,1162.139668,0.298585
178,2.955134,1.028409,5.488072,47.531213,2.5171,1.067492,0.125178,3.338022,129.087947,0.957285,0.623326,0.059651,-99,-99,-99,30.081967,91.226462,17.885038,5.920706,27.924312,2.695287,0.661759,5.443616,52.612897,2.692516,1.724896,0.273285,4.350451,85.858567,1.71637,0.076654,0.000534,0.918213,1855.62659,0.07664,0.443526,0.017964,2.207508,317.353895,0.442479,0.248886,0.005854,1.645821,553.956959,0.243462,4.878782,2.173642,7.321475,28.850354,4.867273,2.737744,0.708346,5.458569,50.359724,2.678079,0.843191,0.064657,3.045368,168.693326,0.843038,18.786559,33.566341,14.28935,8.419058,18.331442,1.900803,0.383617,4.476594,71.923776,1.741899,14.506903,19.718912,12.578997,10.65021,14.254591,5.048506,2.353907,7.4378,29.690575,5.01024,0.8272,0.062661,3.013635,178.638561,0.824038,1.506439,0.211853,4.057431,92.601499,1.486967,9.099197,7.582011,9.995096,16.239869,9.064421,0.466573,0.01983,2.264908,308.217856,0.466127
179,2.407834,0.692308,4.776139,40.334364,2.144587,0.779664,0.073612,2.713469,127.903857,0.690216,0.471861,0.042041,-99,-99,0.467166,31.677089,109.776849,17.581833,3.727074,30.127057,2.29266,0.537324,4.774988,43.302296,2.26754,1.998401,0.414263,4.449409,53.981711,1.961043,0.080016,0.000642,0.894255,1237.738471,0.079922,0.377096,0.0146,1.93547,261.87667,0.372131,0.215351,0.005504,1.431104,489.366612,0.193927,3.770957,1.45995,6.120492,26.187667,3.721315,2.153509,0.550379,4.525547,48.936661,1.939271,0.80016,0.064175,2.827882,123.773847,0.799222,21.266457,48.411217,14.455653,5.339969,20.529317,1.635129,0.303741,3.969567,58.671986,1.512835,12.438821,15.677527,11.133786,8.379749,12.352335,5.111629,2.647878,7.138198,20.348802,5.079667,0.836487,0.070335,2.890307,122.667526,0.834279,1.301215,0.195808,3.53573,80.673111,1.198852,8.364871,7.033483,9.139953,12.266753,8.342786,0.487527,0.02385,2.207066,205.397765,0.486704
180,2.239895,0.491245,5.056286,58.912791,2.016153,0.519475,0.028998,2.405446,246.477114,0.444789,0.304723,0.016162,-99,-99,-99,58.501295,326.51259,25.879851,3.298829,52.588755,2.287865,0.552627,5.104623,61.366391,2.074857,2.754859,0.663322,5.715837,52.189152,2.69114,0.064202,0.000345,0.877253,2033.121696,0.064059,0.274012,0.006464,1.805643,478.47664,0.26935,0.152242,0.002354,1.304164,1082.987836,0.128796,3.288144,0.930878,6.254931,39.873053,3.232204,1.82691,0.339015,4.517756,90.248986,1.545556,0.770428,0.049678,3.038894,169.426808,0.768703,38.18246,130.190432,21.218119,3.979851,36.866138,1.544824,0.250994,4.17741,79.446163,1.367721,15.880477,22.561558,13.628752,10.549842,14.979634,7.092331,4.927786,9.060682,19.954463,6.624342,0.871265,0.06362,3.230995,157.486664,0.868569,1.321945,0.429862,-99,-99,1.135485,10.455176,9.161345,11.192494,13.123889,10.422825,0.533107,0.031706,2.444368,288.504343,0.468441
181,9.441848,2.872804,18.614729,173.45471,7.841542,0.347688,0.00384,3.587467,4853.876126,0.294522,0.193125,0.001873,-99,-99,-99,1186.089018,37443.51029,216.063116,1.589698,1148.16932,1.069784,0.030019,6.502585,1641.171537,1.04468,5.565241,0.807269,14.839379,328.990617,5.444568,0.021522,0.000012,0.927701,77565.99886,0.02151,0.158882,0.000658,2.507654,10531.21598,0.155565,0.084385,0.000214,1.789894,21906.57374,0.075803,6.355291,1.053458,15.859794,263.280399,6.222593,3.375392,0.342881,11.32028,547.664344,3.032106,0.860869,0.018548,5.867296,1939.149972,0.860389,248.041744,1610.77519,99.013715,7.471668,242.130245,1.978524,0.114621,8.680147,800.314596,1.783215,181.159378,825.719341,85.057806,9.378721,180.582717,6.454937,1.068293,16.018295,279.254015,6.375127,0.950537,0.022598,6.165799,1783.577239,0.950317,0.564044,0.00968,4.618606,3690.813215,0.502204,38.021476,36.157573,38.995937,44.589431,38.012683,0.145657,0.000543,2.407011,12219.61151,0.144045
182,2.527396,0.786571,5.004926,46.284638,2.017643,0.810404,0.078115,2.853853,144.918799,0.667237,0.498059,0.048515,-99,-99,0.381459,34.925621,118.096897,19.440529,4.011749,33.788968,2.515238,0.580912,5.253313,48.361336,2.502406,2.009281,0.381315,4.678687,66.369646,1.970967,0.074303,0.000503,0.903846,1605.222773,0.07423,0.385186,0.013828,2.051862,303.680197,0.380284,0.218524,0.005064,1.515497,544.311769,0.198654,4.237042,1.67318,6.805256,27.607291,4.183122,2.40376,0.612704,5.026336,49.482888,2.185189,0.817338,0.060849,2.997717,145.929343,0.816534,23.493306,54.363072,15.91052,6.104139,22.542515,1.641961,0.29919,4.122575,68.647865,1.446095,14.074593,18.138938,12.431566,8.746226,14.024514,5.696707,3.108278,7.864931,23.963559,5.552346,0.850731,0.066242,3.056475,147.907239,0.847816,1.390175,0.190079,3.867436,90.07295,1.327462,9.358039,8.015268,10.137179,13.446113,9.325973,0.490775,0.022302,2.318365,260.002232,0.486543
183,4.041121,1.227631,7.952366,74.011494,3.377243,0.646209,0.031076,3.188075,473.762372,0.546244,0.37668,0.016926,-99,-99,-99,113.026085,804.291482,43.449294,3.102922,109.068196,1.950553,0.231851,5.73335,159.91853,1.916999,2.836043,0.493342,6.907215,118.431755,2.777273,0.04901,0.000142,0.912586,6178.216232,0.048968,0.290679,0.005134,2.213713,1029.543347,0.285844,0.159087,0.001764,1.602845,2035.485589,0.14257,4.941536,1.483868,9.127372,60.561373,4.859345,2.704487,0.509742,6.6087,119.734446,2.42369,0.833174,0.040904,3.762688,363.424484,0.832449,52.365531,171.390205,29.609139,6.645978,50.790836,1.850505,0.234504,5.477777,156.458485,1.673987,32.730246,63.560777,23.562717,9.490475,32.587123,6.058513,2.237669,10.103575,54.936149,5.952295,0.891147,0.046829,3.891048,350.617928,0.890061,1.056136,0.077803,4.133264,337.712146,0.951244,15.149495,13.533494,16.043201,20.624584,15.131035,0.330847,0.006577,2.365406,970.130232,0.32744
