NO.,IDW,MIDW,W,ID,HV,HD,IC,O,Iorb,Oorb,M1,M2,IC0,IC1,IC2,IC3,IC4,IC5,IC6,SIC0,SIC1,SIC2,SIC3,SIC4,SIC5,SIC6,CIC0,CIC1,CIC2,CIC3,CIC4,CIC5,CIC6,S0,S1,S2,S3,S4,S5,S6,SC3,SC4,SC5,SC6,SCH3,SCH4,SCH5,SCH6,SPC4,SPC5,SPC6,B0,B1,B2,B3,B4,B5,B6,BC3,BC4,BC5,BC6,BCH3,BCH4,BCY5,BCH6,BPC4,BPC5,BPC6,V0,V1,V2,V3,V4,V5,V6,VC3,VC4,VC5,VC6,VCH3,VCH4,VCH5,VCH6,VPC4,VPC5,VPC6,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
276,15223.839,8.229,1850,4.65,3.145,4.498,2.435,4,3.94,3,142,170,1.342,2.549,4.012,4.293,4.363,4.363,4.363,0.23,0.437,0.688,0.736,0.748,0.748,0.748,4.491,3.284,1.821,1.54,1.47,1.47,1.47,19.604,12.842,11.915,10.2,7.863,6.092,4.237,2.222,0.118,1.283,0.236,0,0,0,0.212,6.307,8.781,12.745,17.886,10.675,9.334,7.373,4.851,3.054,1.919,1.857,0.118,1.123,0.236,0,0,0,0.081,5.082,6.121,7.467,16.898,9.604,7.809,5.837,3.585,2.001,1.146,1.442,0.096,0.891,0.192,0,0,0,0.07,3.963,4.54,5.001,27,29,42,57,70,87,94,110,122,134,120
277,440.417,5.005,88,3.086,2.2,2.856,1.585,4,3.17,2,40,43,1.809,2.842,3.182,3.522,3.664,3.664,3.664,0.475,0.747,0.836,0.925,0.962,0.962,0.962,1.998,0.965,0.625,0.286,0.143,0.143,0.143,6.69,4.305,3.642,2.593,1.801,1.25,0.451,0.5,0,0.167,0,0,0,0,0.102,1.04,1.055,1.207,5.594,3.014,2.146,1.267,0.723,0.412,0.127,0.26,0,0.059,0,0,0,0,0.032,0.443,0.365,0.342,4.612,2.363,1.455,0.816,0.426,0.227,0.057,0.123,0,0.015,0,0,0,0,0.019,0.19,0.15,0.126,9,9,11,12,12,12,6,4,0,0,0
278,1592.653,6.079,262,3.584,2.645,3.403,1.95,3,3.547,1,60,65,1.599,2.619,3.69,3.844,3.844,3.844,3.844,0.34,0.557,0.785,0.818,0.818,0.818,0.818,3.101,2.081,1.01,0.856,0.856,0.856,0.856,9.845,6.092,5.595,3.888,2.572,1.873,1.102,1.062,0,0.236,0,0,0,0,0.083,1.927,1.822,2.39,8.801,4.825,3.979,2.33,1.288,0.822,0.437,0.718,0,0.144,0,0,0,0,0.028,1.135,0.846,0.98,7.981,3.854,2.885,1.426,0.77,0.459,0.197,0.465,0,0.037,0,0,0,0,0.023,0.523,0.401,0.421,13,13,17,18,19,21,17,13,10,6,0
279,3432.012,6.892,498,3.989,2.778,3.833,2.19,3,3.852,2,86,100,1.603,3.223,4.015,4.282,4.282,4.282,4.282,0.327,0.657,0.818,0.873,0.873,0.873,0.873,3.304,1.684,0.892,0.625,0.625,0.625,0.625,12.414,8.113,7.319,5.81,4.986,3.876,2.352,1.257,0,0.19,0,0,0,0,0.139,2.537,4.423,6.775,11.114,6.197,4.699,3.133,2.316,1.524,0.778,0.695,0,0.073,0,0,0,0,0.046,1.18,1.8,2.376,10.2,5.671,4.086,2.749,1.859,1.254,0.614,0.536,0,0.057,0,0,0,0,0.04,0.958,1.285,1.649,17,18,25,32,42,50,47,44,37,32,22
280,10141.023,7.886,1286,4.518,3.18,4.329,2.642,3,4.585,2,132,161,1.408,3.126,4.903,5.278,5.278,5.278,5.278,0.252,0.56,0.878,0.945,0.945,0.945,0.945,4.177,2.459,0.682,0.307,0.307,0.307,0.307,16.681,11.707,10.366,9.632,8.161,7.117,4.926,1.471,0,0.432,0,0,0,0,0.328,4.204,6.969,11.529,15.114,9.758,8.054,6.953,5.477,4.5,2.833,1.107,0,0.292,0,0,0,0,0.234,2.926,4.491,6.981,14.059,8.683,6.974,5.819,4.444,3.521,2.115,0.9,0,0.209,0,0,0,0,0.191,2.287,3.351,4.939,24,27,39,56,76,105,112,126,132,147,153
281,3539.514,6.873,515,3.968,2.848,3.816,2.257,4,4.087,3,88,105,1.871,3.551,4.323,4.651,4.72,4.72,4.72,0.385,0.731,0.89,0.957,0.972,0.972,0.972,2.987,1.307,0.535,0.207,0.138,0.138,0.138,12.577,8.041,7.363,6.41,4.805,3.256,2.378,1.354,0,0.521,0,0,0,0.196,0.394,3.585,4.975,6.725,11.663,6.967,5.942,4.987,3.487,2.207,1.418,1.026,0,0.374,0,0,0,0.127,0.304,2.691,3.653,4.613,8.632,4.826,3.574,2.434,1.512,0.812,0.427,0.495,0,0.088,0,0,0,0.069,0.117,0.955,1.089,1.098,17,18,26,35,43,46,50,46,45,39,20
282,108020.609,10.031,10769,5.564,3.978,5.418,3.469,8,5.404,6,248,280,1.615,3.419,5.109,5.5,5.739,5.78,5.862,0.244,0.517,0.772,0.831,0.868,0.874,0.886,4.999,3.196,1.505,1.115,0.875,0.834,0.753,36.045,23.977,21.617,16.647,12.982,9.473,6.118,3.388,0,0.683,0,0,0,0.262,0.458,6.843,9.18,12.58,32.342,19.539,16.354,11.377,8.025,5.489,3.54,2.584,0,0.493,0,0,0,0.104,0.165,4.775,5.76,7.437,30.877,18.568,14.902,10.077,6.718,4.138,2.551,2.112,0,0.328,0,0,0,0.17,0.23,3.699,4.01,4.409,50,53,71,85,102,113,114,122,137,141,152
283,94943.148,9.981,9512,5.527,3.831,5.393,3.252,5,5.436,4,256,295,1.491,3.157,4.834,5.752,5.97,6.01,6.01,0.225,0.476,0.729,0.868,0.901,0.907,0.907,5.139,3.473,1.796,0.878,0.659,0.619,0.619,35.131,23.357,22.348,16.671,14.111,11.667,7.863,4.585,0.354,0.684,0,0,0,0,0.392,7.267,11.375,17.32,31.726,19.471,17.671,12.128,9.615,7.551,5.038,3.738,0.354,0.458,0,0,0,0,0.217,5.146,7.544,10.951,28.731,17.394,14.707,9.673,7.264,5.536,3.407,2.712,0.25,0.24,0,0,0,0,0.205,3.436,4.789,6.556,49,53,75,92,120,155,165,189,217,240,234
284,1109.281,5.9,188,3.334,2.139,3.345,1.384,2,2.126,1,56,60,1.746,2.146,2.606,2.606,2.606,2.606,2.606,0.447,0.549,0.667,0.667,0.667,0.667,0.667,2.16,1.76,1.301,1.301,1.301,1.301,1.301,9.992,5.193,6.073,2.668,2.454,0.866,0,2.834,0.577,0.612,0.204,0,0,0,0,2.775,5.585,6.672,9.992,5.193,6.073,2.668,2.454,0.866,0,2.834,0.577,0.612,0.204,0,0,0,0,2.775,5.585,6.672,5.338,2.503,1.739,0.824,0.438,0.071,0,0.36,0.031,0.051,0.006,0,0,0,0,0.4,0.426,0.262,12,11,17,15,17,6,0,0,0,0,0
285,5520.163,7.4,746,4.152,2.711,4.109,1.971,4,3.622,3,98,114,1.967,3.453,4.396,4.631,4.808,4.808,4.808,0.387,0.679,0.864,0.91,0.945,0.945,0.945,3.121,1.634,0.691,0.456,0.28,0.28,0.28,15.61,9.162,8.986,6.173,5.486,3.977,2.318,2.11,0,0.554,0,0,0,0,0.037,3.878,6.863,11.252,14.5,8.105,7.6,5.572,4.732,3.291,1.87,1.65,0,0.493,0,0,0,0,0.037,3.39,5.818,9.239,17.242,9.593,8.965,7.732,8.659,4.082,2.947,2.009,0,0.863,0,0,0,0,0.037,5.309,12.595,19.046,20,20,29,36,48,56,55,50,33,20,4
